,날짜,측정소명,미세먼지,초미세먼지,오존,"이산화질소
NO2 (ppm)","일산화탄소
CO (ppm)","아황산가스
SO2(ppm)"
0,전체,평균,42.0,25.0,0.025,0.028,0.5,0.004
1,2019-12-31,평균,26.0,15.0,0.022,0.016,0.4,0.003
2,2019-12-31,강남구,22.0,14.0,0.025,0.014,0.4,0.003
3,2019-12-31,강동구,27.0,19.0,0.019,0.02,0.4,0.003
4,2019-12-31,강북구,31.0,17.0,0.022,0.022,0.4,0.002
5,2019-12-31,강서구,29.0,16.0,0.022,0.017,0.4,0.004
6,2019-12-31,관악구,36.0,18.0,0.026,0.013,0.4,0.003
7,2019-12-31,광진구,22.0,10.0,0.019,0.016,0.4,0.002
8,2019-12-31,구로구,25.0,16.0,0.022,0.02,0.3,0.004
9,2019-12-31,금천구,23.0,18.0,0.019,0.019,0.4,0.003
10,2019-12-31,노원구,22.0,17.0,0.021,0.014,0.4,0.004
11,2019-12-31,도봉구,19.0,12.0,0.027,0.011,0.3,0.002
12,2019-12-31,동대문구,25.0,12.0,0.02,0.016,0.4,0.003
13,2019-12-31,동작구,30.0,19.0,0.02,0.013,0.3,0.003
14,2019-12-31,마포구,24.0,15.0,0.021,0.013,0.4,0.002
15,2019-12-31,서대문구,23.0,9.0,0.022,0.015,0.5,0.002
16,2019-12-31,서초구,27.0,13.0,0.027,0.021,0.2,0.003
17,2019-12-31,성동구,25.0,16.0,0.021,0.02,0.3,0.003
18,2019-12-31,성북구,26.0,12.0,0.023,0.018,0.6,0.003
19,2019-12-31,송파구,26.0,18.0,0.019,0.017,0.4,0.003
20,2019-12-31,양천구,29.0,17.0,0.018,0.019,0.4,0.004
21,2019-12-31,영등포구,22.0,14.0,0.019,0.018,0.5,0.002
22,2019-12-31,용산구,37.0,18.0,0.022,0.011,0.3,0.003
23,2019-12-31,은평구,24.0,13.0,0.023,0.011,0.4,0.003
24,2019-12-31,종로구,27.0,19.0,0.02,0.016,0.4,0.003
25,2019-12-31,중구,26.0,18.0,0.022,0.014,0.4,0.002
26,2019-12-31,중랑구,23.0,12.0,0.019,0.018,0.4,0.003
27,2019-12-30,평균,36.0,25.0,0.012,0.032,0.6,0.003
28,2019-12-30,강남구,35.0,25.0,0.012,0.032,0.6,0.003
29,2019-12-30,강동구,40.0,29.0,0.012,0.031,0.6,0.003
30,2019-12-30,강북구,37.0,25.0,0.015,0.034,0.6,0.003
31,2019-12-30,강서구,42.0,25.0,0.014,0.032,0.6,0.004
32,2019-12-30,관악구,38.0,24.0,0.009,0.033,0.6,0.003
33,2019-12-30,광진구,36.0,21.0,0.013,0.025,0.8,0.003
34,2019-12-30,구로구,33.0,27.0,0.016,0.027,0.4,0.003
35,2019-12-30,금천구,31.0,28.0,0.01,0.032,0.5,0.003
36,2019-12-30,노원구,32.0,27.0,0.011,0.033,0.7,0.004
37,2019-12-30,도봉구,28.0,20.0,0.008,0.032,0.8,0.003
38,2019-12-30,동대문구,37.0,24.0,0.01,0.033,0.7,0.003
39,2019-12-30,동작구,42.0,29.0,0.011,0.034,0.5,0.003
40,2019-12-30,마포구,32.0,23.0,0.011,0.035,0.6,0.003
41,2019-12-30,서대문구,35.0,18.0,0.016,0.025,0.7,0.002
42,2019-12-30,서초구,40.0,27.0,0.017,0.035,0.4,0.003
43,2019-12-30,성동구,35.0,25.0,0.012,0.033,0.6,0.004
44,2019-12-30,성북구,37.0,24.0,0.013,0.036,0.8,0.003
45,2019-12-30,송파구,34.0,23.0,0.009,0.034,0.6,0.003
46,2019-12-30,양천구,40.0,28.0,0.011,0.032,0.6,0.004
47,2019-12-30,영등포구,33.0,23.0,0.011,0.033,0.8,0.003
48,2019-12-30,용산구,33.0,26.0,0.01,0.029,0.6,0.003
49,2019-12-30,은평구,35.0,22.0,0.015,0.023,0.6,0.003
50,2019-12-30,종로구,39.0,28.0,0.01,0.033,0.7,0.003
51,2019-12-30,중구,35.0,30.0,0.012,0.03,0.6,0.003
52,2019-12-30,중랑구,37.0,20.0,0.012,0.032,0.6,0.002
53,2019-12-29,평균,45.0,27.0,0.009,0.037,0.7,0.003
54,2019-12-29,강남구,43.0,29.0,0.005,0.041,0.7,0.003
55,2019-12-29,강동구,50.0,34.0,0.008,0.037,0.6,0.003
56,2019-12-29,강북구,47.0,29.0,0.01,0.04,0.6,0.003
57,2019-12-29,강서구,52.0,26.0,0.006,0.045,0.6,0.004
58,2019-12-29,관악구,49.0,29.0,0.006,0.043,0.6,0.003
59,2019-12-29,광진구,44.0,22.0,0.009,0.027,0.9,0.003
60,2019-12-29,구로구,48.0,31.0,0.007,0.04,0.5,0.004
61,2019-12-29,금천구,38.0,31.0,0.006,0.043,0.6,0.004
62,2019-12-29,노원구,38.0,30.0,0.008,0.041,0.9,0.006
63,2019-12-29,도봉구,39.0,22.0,0.012,0.029,0.7,0.003
64,2019-12-29,동대문구,45.0,25.0,0.007,0.039,0.7,0.003
65,2019-12-29,동작구,49.0,31.0,0.007,0.042,0.6,0.003
66,2019-12-29,마포구,42.0,27.0,0.006,0.043,0.7,0.003
67,2019-12-29,서대문구,41.0,17.0,0.02,0.022,0.6,0.003
68,2019-12-29,서초구,50.0,29.0,0.012,0.045,0.5,0.003
69,2019-12-29,성동구,43.0,29.0,0.008,0.039,0.6,0.004
70,2019-12-29,성북구,44.0,25.0,0.01,0.039,0.8,0.003
71,2019-12-29,송파구,43.0,26.0,0.006,0.041,0.7,0.004
72,2019-12-29,양천구,52.0,31.0,0.004,0.045,0.7,0.005
73,2019-12-29,영등포구,44.0,28.0,0.006,0.042,0.9,0.003
74,2019-12-29,용산구,40.0,30.0,0.004,0.035,0.6,0.003
75,2019-12-29,은평구,40.0,20.0,0.025,0.015,0.5,0.003
76,2019-12-29,종로구,45.0,30.0,0.008,0.038,0.7,0.004
77,2019-12-29,중구,45.0,33.0,0.008,0.035,0.6,0.004
78,2019-12-29,중랑구,44.0,21.0,0.014,0.028,0.5,0.002
79,2019-12-28,평균,42.0,25.0,0.006,0.044,0.7,0.004
80,2019-12-28,강남구,42.0,27.0,0.004,0.044,0.6,0.003
81,2019-12-28,강동구,49.0,31.0,0.006,0.043,0.6,0.003
82,2019-12-28,강북구,45.0,28.0,0.006,0.047,0.7,0.003
83,2019-12-28,강서구,49.0,23.0,0.006,0.05,0.7,0.005
84,2019-12-28,관악구,38.0,21.0,0.002,0.048,0.7,0.003
85,2019-12-28,광진구,44.0,20.0,0.004,0.036,0.9,0.003
86,2019-12-28,구로구,35.0,22.0,0.006,0.043,0.5,0.004
87,2019-12-28,금천구,34.0,24.0,0.008,0.039,0.6,0.004
88,2019-12-28,노원구,33.0,27.0,0.007,0.041,0.7,0.006
89,2019-12-28,도봉구,37.0,21.0,0.007,0.034,0.7,0.003
90,2019-12-28,동대문구,42.0,25.0,0.005,0.046,0.7,0.004
91,2019-12-28,동작구,43.0,26.0,0.006,0.046,0.6,0.004
92,2019-12-28,마포구,40.0,25.0,0.004,0.05,0.7,0.004
93,2019-12-28,서대문구,44.0,18.0,0.006,0.042,0.8,0.004
94,2019-12-28,서초구,48.0,27.0,0.01,0.052,0.5,0.004
95,2019-12-28,성동구,41.0,27.0,0.005,0.046,0.6,0.004
96,2019-12-28,성북구,46.0,25.0,0.005,0.05,0.9,0.004
97,2019-12-28,송파구,44.0,25.0,0.005,0.046,0.7,0.004
98,2019-12-28,양천구,48.0,27.0,0.005,0.048,0.7,0.005
99,2019-12-28,영등포구,41.0,25.0,0.005,0.047,1.0,0.003
100,2019-12-28,용산구,40.0,28.0,0.004,0.037,0.6,0.003
101,2019-12-28,은평구,40.0,20.0,0.007,0.035,0.5,0.004
102,2019-12-28,종로구,45.0,30.0,0.005,0.047,0.8,0.004
103,2019-12-28,중구,44.0,33.0,0.004,0.044,0.7,0.004
104,2019-12-28,중랑구,43.0,20.0,0.006,0.04,0.6,0.003
105,2019-12-27,평균,34.0,24.0,0.018,0.028,0.6,0.003
106,2019-12-27,강남구,31.0,23.0,0.019,0.028,0.5,0.003
107,2019-12-27,강동구,41.0,30.0,0.016,0.032,0.6,0.003
108,2019-12-27,강북구,37.0,27.0,0.024,0.027,0.5,0.003
109,2019-12-27,강서구,40.0,23.0,0.019,0.032,0.5,0.005
110,2019-12-27,관악구,39.0,23.0,0.015,0.032,0.5,0.003
111,2019-12-27,광진구,33.0,18.0,0.017,0.025,0.8,0.003
112,2019-12-27,구로구,30.0,22.0,0.022,0.025,0.4,0.004
113,2019-12-27,금천구,29.0,26.0,0.015,0.031,0.5,0.004
114,2019-12-27,노원구,33.0,30.0,0.015,0.025,0.7,0.005
115,2019-12-27,도봉구,28.0,19.0,0.027,0.016,0.5,0.002
116,2019-12-27,동대문구,31.0,20.0,0.02,0.025,0.5,0.003
117,2019-12-27,동작구,38.0,26.0,0.014,0.034,0.5,0.003
118,2019-12-27,마포구,33.0,23.0,0.014,0.032,0.5,0.003
119,2019-12-27,서대문구,34.0,17.0,0.021,0.023,0.7,0.004
120,2019-12-27,서초구,33.0,23.0,0.022,0.036,0.4,0.003
121,2019-12-27,성동구,32.0,25.0,0.02,0.029,0.5,0.004
122,2019-12-27,성북구,34.0,20.0,0.02,0.031,0.7,0.003
123,2019-12-27,송파구,34.0,23.0,0.014,0.034,0.6,0.003
124,2019-12-27,양천구,40.0,26.0,0.014,0.033,0.6,0.005
125,2019-12-27,영등포구,32.0,22.0,0.016,0.029,0.7,0.003
126,2019-12-27,용산구,31.0,24.0,0.016,0.023,0.5,0.003
127,2019-12-27,은평구,33.0,20.0,0.023,0.018,0.5,0.003
128,2019-12-27,종로구,35.0,27.0,0.019,0.026,0.6,0.004
129,2019-12-27,중구,33.0,28.0,0.02,0.023,0.5,0.003
130,2019-12-27,중랑구,41.0,24.0,0.016,0.027,0.6,0.003
131,2019-12-26,평균,47.0,33.0,0.013,0.033,0.7,0.004
132,2019-12-26,강남구,45.0,34.0,0.013,0.036,0.7,0.003
133,2019-12-26,강동구,53.0,40.0,0.012,0.035,0.7,0.003
134,2019-12-26,강북구,50.0,36.0,0.017,0.034,0.6,0.003
135,2019-12-26,강서구,56.0,33.0,0.016,0.031,0.6,0.005
136,2019-12-26,관악구,50.0,33.0,0.012,0.035,0.7,0.003
137,2019-12-26,광진구,47.0,28.0,0.012,0.029,0.9,0.003
138,2019-12-26,구로구,46.0,34.0,0.017,0.029,0.4,0.004
139,2019-12-26,금천구,45.0,40.0,0.01,0.04,0.7,0.004
140,2019-12-26,노원구,41.0,34.0,0.013,0.031,0.6,0.005
141,2019-12-26,도봉구,44.0,29.0,0.019,0.024,0.6,0.003
142,2019-12-26,동대문구,46.0,30.0,0.014,0.03,0.6,0.003
143,2019-12-26,동작구,54.0,39.0,0.012,0.038,0.6,0.003
144,2019-12-26,마포구,42.0,30.0,0.011,0.034,0.6,0.003
145,2019-12-26,서대문구,48.0,25.0,0.014,0.03,0.9,0.006
146,2019-12-26,서초구,52.0,35.0,0.018,0.039,0.5,0.003
147,2019-12-26,성동구,46.0,33.0,0.012,0.036,0.6,0.004
148,2019-12-26,성북구,46.0,35.0,0.006,0.044,0.8,0.003
149,2019-12-26,송파구,46.0,32.0,0.009,0.04,0.7,0.003
150,2019-12-26,양천구,56.0,37.0,0.012,0.033,0.6,0.005
151,2019-12-26,영등포구,40.0,31.0,0.012,0.034,0.8,0.003
